"9196: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/ontology/genre'))=http://dbpedia.org/resource/Pop_rock";"-0.159"
"9197: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/ontology/genre'))=http://dbpedia.org/resource/Folk_rock";"-0.159"
"7469: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/property/genre'))=http://dbpedia.org/resource/Folk_rock";"-0.158"
"8299: http://dbpedia.org/property/mc<=76";"-0.157"
"8300: http://dbpedia.org/property/mc<=77";"-0.157"
"8301: http://dbpedia.org/property/mc<=78";"-0.157"
"cokemachineglow";"0.156"
"9108: (rdflib.term.URIRef('http://dbpedia.org/ontology/genre'), rdflib.term.URIRef('http://dbpedia.org/ontology/stylisticOrigin'))=http://dbpedia.org/resource/Indie_rock";"-0.155"
"6629: (rdflib.term.URIRef('http://dbpedia.org/property/label'), rdflib.term.URIRef('http://dbpedia.org/property/genre'))=http://dbpedia.org/resource/Indie_rock";"0.151"
"8938: (rdflib.term.URIRef('http://dbpedia.org/ontology/producer'), rdflib.term.URIRef('http://dbpedia.org/ontology/recordLabel'))=http://dbpedia.org/resource/Columbia_Records";"0.149"
"2396: (rdflib.term.URIRef('http://dbpedia.org/property/genre'), rdflib.term.URIRef('http://purl.org/dc/terms/subject'))=http://dbpedia.org/resource/Category:Rock_music_genres";"-0.146"
"5265: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/property/yearsActive'))<=1979";"0.145"
"7841: (rdflib.term.URIRef('http://dbpedia.org/ontology/producer'), rdflib.term.URIRef('http://purl.org/dc/terms/subject'))=http://dbpedia.org/resource/Category:American_singer-songwriters";"0.144"
"7845: (rdflib.term.URIRef('http://dbpedia.org/ontology/producer'), rdflib.term.URIRef('http://purl.org/dc/terms/subject'))=http://dbpedia.org/resource/Category:English_record_producers";"0.144"
"12503: (rdflib.term.URIRef('http://dbpedia.org/property/producer'), rdflib.term.URIRef('http://purl.org/dc/terms/subject'))=http://dbpedia.org/resource/Category:American_record_producers";"0.144"
"4670: (rdflib.term.URIRef('http://dbpedia.org/ontology/previousWork'), rdflib.term.URIRef('http://xmlns.com/foaf/0.1/homepage'))";"-0.142"
"3283: (rdflib.term.URIRef('http://dbpedia.org/property/genre'), rdflib.term.URIRef('http://dbpedia.org/ontology/derivative'))=http://dbpedia.org/resource/Heavy_metal_music";"-0.140"
"3312: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/ontology/recordLabel'))";"0.139"
"5264: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/property/yearsActive'))<=1978";"0.139"
"5285: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/property/yearsActive'))<=1999";"-0.137"
"6512: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://purl.org/dc/terms/subject'))=http://dbpedia.org/resource/Category:African-American_male_rappers";"-0.137"
"5310: http://dbpedia.org/property/recorded";"0.136"
"5739: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://xmlns.com/foaf/0.1/surname'))";"-0.136"
"6643: (rdflib.term.URIRef('http://dbpedia.org/ontology/artist'), rdflib.term.URIRef('http://dbpedia.org/ontology/genre'))=http://dbpedia.org/resource/Electronica";"-0.134"
"djbooth";"0.133"
"e";"0.133"
"4303: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/property/origin'))=http://dbpedia.org/resource/United_States";"-0.133"
"7965: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/ontology/bandMember'))";"0.133"
"fly";"0.132"
"4581: http://dbpedia.org/property/rev=Blender";"-0.132"
"5286: (rdflib.term.URIRef('http://dbpedia.org/property/artist'), rdflib.term.URIRef('http://dbpedia.org/property/yearsActive'))<=2000";"-0.132"
"6592: (rdflib.term.URIRef('http://dbpedia.org/property/producer'), rdflib.term.URIRef('http://dbpedia.org/ontology/genre'))=http://dbpedia.org/resource/Country_music";"-0.132"
"7490: (rdflib.term.URIRef('http://dbpedia.org/ontology/genre'), rdflib.term.URIRef('http://dbpedia.org/property/regionalScenes'))";"-0.132"
